Name,Asset Type,Location,Commodity,Operating Company,Status
Al Masane,Mine (General),Saudi Arabia,Gold,Al Masane Al Kobra Mining Co,Normal Operation
Vale Inco Sudbury,Mine (General),Canada,Platinum,Vale SA,Normal Operation
Juanicipio,Mine (General),Mexico,Gold,Fresnillo PLC,Normal Operation
Shebandowan,Mine (General),Canada,Palladium,White Metal Resources Corp,Normal Operation
Maseve,Mine (General),South Africa,Silver,Royal Bafokeng Platinum Ltd,Normal Operation
Aitik,Mine (General),Sweden,Copper,Boliden AB,Normal Operation
Northparkes,Mine (General),Australia,Silver,Evolution Mining Ltd,Normal Operation
Moonshine Iron Ore (Magnetite) Deposit,Mine (General),Australia,Iron Ore,Lake Giles Iron Ore Deposits,Unknown
Atacocha,Mine (General),Peru,Lead,Nexa Resources SA,Normal Operation
Marcona Iron Ore Mine,Mine (General),Peru,Iron Ore,Shougang Hierro Perú S.A.,Unknown
Candelaria/Ojos del Salado,Mine (General),Chile,Gold,Lundin Mining Corp,Normal Operation
Galeshinskoye Iron Ore Deposit,Mine (General),Ukraine,Iron Ore,Poltavskaya Iron Ore Mines,Unknown
Balancing item Chile copper mines,Mine (General),Chile,Copper,Various,Normal Operation
Zanaga Iron Ore Deposit,Mine (General),Congo (RC),Iron Ore,Jumelles Ltd,Unknown
Turnagain,Mine (General),Canada,Cobalt,Giga Metals Corp,Prefeasibility
Caue e Chacrinha Iron Ore Mines,Mine (General),Brazil,Iron Ore,Itabira Iron Ore Complex,Not Applicable
Carmen de Andacollo,Mine (General),Chile,Gold,Teck Resources Ltd,Normal Operation
Round Mountain,Mine (General),United States,Silver,Kinross Gold Corp,Normal Operation
Balancing item Egypt iron ore mines,Mine (General),Egypt,Iron Ore,Various,Normal Operation
Sydvaranger,Mine (General),Norway,Iron Ore,Tacora Resources Inc,Feasibility
Implied Production Venezuela,Mine (General),Venezuela,Silver,Venezuela,Normal Operation
Lavrikovskoye Iron Ore Mine,Mine (General),Ukraine,Iron Ore,Gorishni Plavni Iron Ore Mine,Normal Operation
Aguas Tenidas,Mine (General),Spain,Copper,Sandfire Resources Ltd,Normal Operation
Omchak,Mine (General),Russia,Gold,Susumanzoloto PAO,Conceptual project
Boulsa Copper/Gold/Molybdenum Deposit,Mine (General),Burkina Faso,Molybdenum,West African Resources Ltd,Conceptual project
Kalagadi Manganese Mine,Mine (General),South Africa,Manganese Ore,Kalahari Resources (Bee),Under Construction
Mid Tennessee,Mine (General),United States,Zinc,Nyrstar NV,Normal Operation
Cerro Moro,Mine (General),Argentina,Gold,Pan American Silver Corp,Normal Operation
La Gloria,Mine (General),Mexico,Silver,Fresnillo PLC,Conceptual project
Pallca,Mine (General),Peru,Zinc,Compania Minera Santa Luisa SA,Care and Maintenance
Potter Copper/Zinc/Cobalt/Silver Deposit,Mine (General),Canada,Cobalt,Millstream Mines Ltd,Conceptual project
Aksu/Bestobe/Zholymbet,Mine (General),Kazakhstan,Gold,Kazakhgold Ltd,Feasibility
Attepe Iron Ore Mine,Mine (General),Turkey,Iron Ore,Erdemir Madencilik San. ve Tic. A.S.,Normal Operation
Jerritt Canyon,Mine (General),United States,Silver,Jerritt Canyon Gold LLC,Normal Operation
EL Limon,Mine (General),Nicaragua,Silver,Calibre Mining Corp,Normal Operation
Balancing item Chile iron ore mines,Mine (General),Chile,Iron Ore,Various,Normal Operation
Cerro de Pasco,Mine (General),Peru,Lead,Volcan Compania Minera SAA,Normal Operation
Pucarrajo,Mine (General),Peru,Zinc,Nyrstar NV,Care and Maintenance
Bakoudou-Magnima,Mine (General),Gabon,Gold,Managem SA,Normal Operation
Bea Mountains Iron Ore Deposit,Mine (General),Liberia,Iron Ore,Western Iron Ore Cluster,"Project, no spec"
Kumtor,Mine (General),Kyrgyzstan,Gold,Government of the Kyrgyz Republic,Normal Operation
Tom's Gully,Mine (General),Australia,Gold,GBS Gold International Inc,Normal Operation
Two Rivers,Mine (General),South Africa,Palladium,African Rainbow Minerals Ltd,Normal Operation
Eleonore,Mine (General),Canada,Gold,Newmont Corporation,Normal Operation
Poltavskaya,Mine (General),Ukraine,Iron Ore,Ferrexpo PLC,Normal Operation
Lac des Iles,Mine (General),Canada,Silver,Impala Platinum Holdings Ltd,Normal Operation
Monster Lake,Mine (General),Canada,Gold,Iamgold Corp,Prefeasibility
La India,Mine (General),Mexico,Gold,Agnico Eagle Mines Ltd,Normal Operation
Cosmos (Odysseus),Mine (General),Australia,Nickel,Western Areas Ltd,Care and Maintenance
Segilola,Mine (General),Nigeria,Gold,Thor Explorations Ltd,Normal Operation
Yogi Iron Ore Deposit,Mine (General),Australia,Iron Ore,BIR Financial Ltd,Unknown
Various Lead Mine,Mine (General),Mexico,Lead,Industrias Penoles SAB de CV,Temporarily Closed
Cerro Negro Norte,Mine (General),Chile,Iron Ore,Compania Minera del Pacifico SA,Normal Operation
Randfontein,Mine (General),South Africa,Gold,Harmony Gold Mining Company Ltd,Normal Operation
Hislop,Mine (General),Canada,Silver,St Andrew Goldfields Ltd,Prefeasibility
Summit,Mine (General),United States,Silver,Santa Fe Gold Corp,Normal Operation
Palmarejo,Mine (General),Mexico,Gold,Coeur Mining Inc,Normal Operation
Balancing item Chile zinc mines,Mine (General),Chile,Zinc,Various,Normal Operation
Cortez,Mine (General),United States,Gold,Barrick Gold Corp,Normal Operation
Pangjiabao Iron Ore Mine,Mine (General),China (Mainland),Iron Ore,"HEBEI IRON AND STEEL CO., LTD.",Unknown
Tonglushan,Mine (General),China (Mainland),Copper,China Daye Non-Ferrous Metals Mining Ltd,Normal Operation
Porgera,Mine (General),Papua New Guinea,Silver,Barrick Niugini Ltd,Normal Operation
Implied Production,Mine (General),North Korea,Gold,North Korea,Normal Operation
SGX Mine,Mine (General),China (Mainland),Silver,Silvercorp Metals Inc,Normal Operation
Jerntoppen Iron Ore Mine,Mine (General),Norway,Iron Ore,Tschudi Kirkenes AS,Unknown
Thach Khe Iron Ore Deposit,Mine (General),Vietnam,Iron Ore,Thach Khe Iron Ore Joint Stock Company,Unknown
Western Bushveld JV 1,Mine (General),South Africa,Rhodium,Platinum Group Metals Ltd,Normal Operation
Kemess South,Mine (General),Canada,Silver,Centerra Gold Inc,Care and Maintenance
Zod,Mine (General),Armenia,Silver,Geopromining Ltd,Normal Operation
RASL,Mine (General),India,Iron Ore,Sarda Energy & Minerals Ltd,Normal Operation
Cerro Marquez,Mine (General),Chile,Copper,Endeavour Silver Corp,Conceptual project
Henderson Molybdenum Mine,Mine (General),United States,Molybdenum,Climax Molybdenum Mines,Not Applicable
Implied Production Denmark,Mine (General),Denmark,Silver,Denmark,Normal Operation
Andy Well,Mine (General),Australia,Silver,Silver Lake Resources Ltd,Normal Operation
Hermosa,Mine (General),United States,Zinc,South32 Ltd,Prefeasibility
Norilsk,Mine (General),Russia,Gold,GMK Noril'skiy Nikel' PAO,Normal Operation
Coimolache,Mine (General),Peru,Gold,Cia Minera Coimolache SA,Normal Operation
Omarska,Mine (General),Bosnia and Herzegovina,Iron Ore,ArcelorMittal SA,Normal Operation
Kyzyl-Tashtygskoye,Mine (General),Russia,Zinc,Zijin Mining Group Co Ltd,Normal Operation
Boleo Copper/Cobalt Mine,Mine (General),Mexico,Manganese Ore,Korea Resources Corp,Temporarily Closed
Isabella Pearl,Mine (General),United States,Gold,Gold Resource Corp,Normal Operation
Implied Production Guinea,Mine (General),Guinea,Silver,Guinea,Normal Operation
Unkur Copper-Silver,Mine (General),Russia,Copper,Azarga Metals Corp,Normal Operation
Pioneer,Mine (General),Russia,Silver,Petropavlovsk PLC,Conceptual project
Musselwhite,Mine (General),Canada,Silver,Newmont Corporation,Normal Operation
Twickenham,Mine (General),South Africa,Platinum,Anglo American Platinum Ltd,Normal Operation
Bakubung,Mine (General),South Africa,Platinum,Wesizwe Platinum Ltd,Normal Operation
Santander,Mine (General),Peru,Zinc,Cerro De Pasco Resources Inc,Conceptual project
Rapid Growth Project 5,Mine (General),Australia,Iron Ore,BHP Western Australian Iron Ore Mines,Normal Operation
Julcani,Mine (General),Peru,Lead,Compania de Minas Buenaventura SAA,Normal Operation
Monchetundra,Mine (General),Russia,Palladium,Eurasia Mining PLC,Conceptual project
Bishop Iron Ore Mine,Mine (General),South Africa,Iron Ore,PMG Mining,Normal Operation
Kraomita Malagasy Chrome Mine,Mine (General),Madagascar,Chromite,Office Militaire National Pour Les Industries Strategiques,Normal Operation
Razoare Iron Ore Mine,Mine (General),Romania,Iron Ore,Remin Sa,Not Applicable
Endeavor,Mine (General),Australia,Lead,Endeavour Mining Corp,Resuming Normal Operation
Sentinel,Mine (General),Zambia,Copper,First Quantum Minerals Ltd,Normal Operation
White Mountain,Mine (General),China (Mainland),Silver,China Yintai Holdings Co Ltd,Feasibility
Bugdainskoye Tungsten/Molybdenum Deposit,Mine (General),Russia,Molybdenum,Nornickel,Feasibility
Dolinnoe,Mine (General),Kazakhstan,Silver,Glencore PLC,Normal Operation
Kamoya Cobalt Mine,Mine (General),Congo (DRC),Cobalt,Gecamines Copper/Cobalt Mines,Temporarily Closed
Mato Bula,Mine (General),Ethiopia,Gold,Tibet Huayu Mining Co Ltd,Conceptual project
Syama,Mine (General),Mali,Gold,Societe Des Mines De Syama Sa,Normal Operation
Cerro Corona,Mine (General),Peru,Copper,Gold Fields Ltd,Normal Operation
Sierra Gorda,Mine (General),Chile,Molybdenum,KGHM Polska Miedz SA,Temporarily Closed
Rajpura Dariba,Mine (General),India,Lead,Hindustan Zinc Ltd,Normal Operation
Serra Azul,Mine (General),Brazil,Iron Ore,ArcelorMittal SA,Normal Operation
Mungana,Mine (General),Australia,Silver,Aurora Metals Ltd,Normal Operation
Guojiagou,Mine (General),China (Mainland),Zinc,Lixian County Jinhui Mining Co Ltd,Normal Operation
Eramen Sta Cruz Mining Project,Mine (General),Philippines,Nickel,Eramen Minerals Inc,Care and Maintenance
Banfora,Mine (General),Burkina Faso,Silver,Teranga Gold Corp,Normal Operation
Tulsequah Chief,Mine (General),Canada,Copper,Chieftain Metals Inc.,Care and Maintenance
"Western Chrome Mines (LG6, MG1)",Mine (General),South Africa,Chromite,Glencore PLC,Normal Operation
Horizon Chrome Mine,Mine (General),South Africa,Chromite,Sa Chrome Jv,Not Applicable
Taimyr Peninsula,Mine (General),Russia,Rhodium,GMK Noril'skiy Nikel' PAO,Normal Operation
Izok Lake,Mine (General),Canada,Copper,MMG Ltd,Feasibility
Vammala,Mine (General),Finland,Silver,Dragon Mining Ltd,Normal Operation
El Porvenir,Mine (General),Peru,Silver,Nexa Resources SA,Normal Operation
Yeon Chon Iron Ore Mine,Mine (General),South Korea,Iron Ore,Dongwon Resource Corp,Normal Operation
Munali,Mine (General),Zambia,Copper,Consolidated Nickel Mines Ltd,Normal Operation
Platinum Creek,Mine (General),United States,Platinum,XS Platinum Inc,Normal Operation
Cehegin Iron Ore Deposit,Mine (General),Spain,Iron Ore,Iberian Minerals Ltd.,Unknown
Red Bird Molybdenum Deposit,Mine (General),Canada,Molybdenum,Saint Jean Carbon Inc,Conceptual project
La Libertad,Mine (General),Nicaragua,Silver,Calibre Mining Corp,Normal Operation
Qulong,Mine (General),China (Mainland),Copper,Zijin Mining Group Co Ltd,Normal Operation
Seabee,Mine (General),Canada,Silver,SSR Mining Inc,Normal Operation
Twin Creeks,Mine (General),United States,Gold,Newmont Mining Corp,Normal Operation
Tuhu Manganese Mine,Mine (General),China (Mainland),Manganese Ore,Guangxi Xin Manganese Group Co Ltd,Normal Operation
Implied Production,Mine (General),Papua New Guinea,Gold,Papua New Guinea,Normal Operation
United Taconite,Mine (General),United States,Iron Ore,Cleveland-Cliffs Inc,Normal Operation
Kola,Mine (General),Russia,Platinum,GMK Noril'skiy Nikel' PAO,Normal Operation
Tampakan,Mine (General),Philippines,Copper,Sagittarius Mines Inc,Feasibility
Voskhod Chromite Mine,Mine (General),Kazakhstan,Chromite,Oriel Resourcesltd,Normal Operation
Shanxi Yixingzhai,Mine (General),China (Mainland),Gold,Zijin Mining Group Co Ltd,Normal Operation
Saramacca,Mine (General),Suriname,Gold,IAMGOLD Corp,Feasibility
Integrated Nickel Operations,Mine (General),Canada,Rhodium,Glencore PLC,Normal Operation
Podolsky,Mine (General),Canada,Rhodium,KGHM Polska Miedz SA,Care and Maintenance
Handgait Molybdenum Deposit,Mine (General),Mongolia,Molybdenum,Central Asia Metals Plc,Conceptual project
Ebiya 1 & 2 Iron Ore Deposit,Mine (General),Nigeria,Iron Ore,Aico Ado Ibrahim Mining Co Ltd,"Project, no spec"
Harvest,Mine (General),Ethiopia,Gold,East Africa Metals Inc,Conceptual project
Ahafo,Mine (General),Ghana,Gold,Newmont Corporation,Normal Operation
N4W Iron Ore Mine,Mine (General),Brazil,Iron Ore,Vale Northern System (Carajas) Iron Ore Mines,Not Applicable
Jibóia Iron Ore Deposit,Mine (General),Brazil,Iron Ore,Bahia Mineracao Limitada,Unknown
North Atlantic Iron Corporation Iron Ore Deposit,Mine (General),Canada,Iron Ore,Petmin Ltd,Unknown
Lisakovsky,Mine (General),Kazakhstan,Iron Ore,Lisakovsky Mining Complex,Normal Operation
Baiquan Iron Ore Mine,Mine (General),China (Mainland),Iron Ore,"HEBEI IRON AND STEEL CO., LTD.",Unknown
Green Bay,Mine (General),Canada,Gold,Maritime Resources Corp,Conceptual project
Nokkundi Iron Ore Deposit,Mine (General),Pakistan,Iron Ore,Bolan Mining Enterprises,"Project, no spec"
Implied Production,Mine (General),Ghana,Gold,Ghana,Normal Operation
Emarat,Mine (General),Iran,Zinc,Kahanroba Co,Normal Operation
Lekarevskoye Iron Ore Deposit,Mine (General),Ukraine,Iron Ore,Velta LLC,"Project, no spec"
Lac des Iles,Mine (General),Canada,Rhodium,Impala Platinum Holdings Ltd,Normal Operation
Lily,Mine (General),South Africa,Gold,Vantage Goldfields Ltd,Care and Maintenance
Didipio,Mine (General),Philippines,Copper,OceanaGold Corp,Normal Operation
Chang Shan Hao,Mine (General),China (Mainland),Silver,China Gold International Resources Corp Ltd,Normal Operation
Implied Production,Mine (General),Canada,Gold,Canada,Normal Operation
Viburnum,Mine (General),United States,Copper,Doe Run Co,Normal Operation
Balancing item Peru iron ore mines,Mine (General),Peru,Iron Ore,Various,Normal Operation
Taseevskoye,Mine (General),Russia,Silver,Highland Gold Mining Ltd,Normal Operation
Primrose,Mine (General),South Africa,Gold,Centurion Gold Holding Inc,Normal Operation
Santa Rosa,Mine (General),Peru,Silver,Great Panther Mining Ltd,Prefeasibility
Monique,Mine (General),Canada,Silver,Probe Metals Inc,Conceptual project
Balancing item Gabon,Mine (General),Gabon,Silver,Gabon,Normal Operation
Karora Iron Ore Deposit,Mine (General),Sudan,Iron Ore,Geological Research Authority of the Sudan,Unknown
Implied Production,Mine (General),Turkey,Gold,Turkey,Normal Operation
Irankouh,Mine (General),Iran,Lead,Bama Mining,Normal Operation
Valentine,Mine (General),Canada,Gold,Marathon Gold Corp,Feasibility
San Felipe,Mine (General),Mexico,Silver,Minera Frisco SAB de CV,Normal Operation
Chirano,Mine (General),Ghana,Gold,Asante Gold Corp,Normal Operation
San Gregorio,Mine (General),Uruguay,Gold,Minera San Gregorio SA,Normal Operation
Yekepa (Nimba),Mine (General),Liberia,Iron Ore,ArcelorMittal SA,Normal Operation
Pilanesberg,Mine (General),South Africa,Rhodium,Sedibelo Platinum Mines Ltd,Normal Operation
Quebrada Blanca Copper (SX-EW) Mine,Mine (General),Chile,Molybdenum,Cia Minera Quebrada Blanca SA,Normal Operation
Tolukuma,Mine (General),Papua New Guinea,Gold,Asidokona Mining Resources Pte Ltd,Normal Operation
Balla Balla Iron Ore/Vanadium Deposit,Mine (General),Australia,Iron Ore,Aurox Resources Pty Ltd,Unknown
La Colorada,Mine (General),Mexico,Gold,Pan American Silver Corp,Normal Operation
Mulatos,Mine (General),Mexico,Silver,Alamos Gold Inc,Normal Operation
Atasuysky Mining Complex,Mine (General),Kazakhstan,Iron Ore,Orken Ltd,Normal Operation
Korbalikhinsky,Mine (General),Russia,Zinc,Ural Mining & Metallurgical,Normal Operation
Damang,Mine (General),Ghana,Silver,Gold Fields Ltd,Normal Operation
Itabira,Mine (General),Brazil,Iron Ore,Vale SA,Normal Operation
Savage River,Mine (General),Australia,Iron Ore,Grange Resources Ltd,Normal Operation
Pyhasalmi,Mine (General),Finland,Copper,First Quantum Minerals Ltd,Care and Maintenance
Strieborna Silver/Copper/Antimony Deposit,Mine (General),Slovakia,Iron Ore,Global Minerals Ltd,Unknown
McIlvenna Bay,Mine (General),Canada,Copper,Foran Mining Corp,Feasibility
Leonora,Mine (General),Australia,Silver,St Barbara Ltd,Normal Operation
Bisha,Mine (General),Eritrea,Zinc,Zijin Mining Group Co Ltd,Normal Operation
Marshal Pool,Mine (General),Guatemala,Nickel,Minara Resources Pty Ltd,Feasibility
Tulare,Mine (General),Serbia,Copper,Dundee Precious Metals Inc,Conceptual project
Pajingo,Mine (General),Australia,Silver,Minjar Gold Pty Ltd,Normal Operation
Caetite Iron Ore Deposit,Mine (General),Brazil,Iron Ore,Mineraçao Brasileira de Ferro,Not Applicable
West Musgrave,Mine (General),Australia,Nickel,BHP Group Ltd,Prefeasibility
Mareesburg,Mine (General),South Africa,Palladium,Eastern Platinum Ltd,Normal Operation
Phuc Ninh,Mine (General),Vietnam,Iron Ore,Thai Nguyen Iron and Steel Corporation,Normal Operation
Joda West Iron Ore Mine,Mine (General),India,Iron Ore,Tata Steel Ltd,Unknown
Dannemora Iron Ore Mine,Mine (General),Sweden,Iron Ore,Dannemora Mineral AB,Normal Operation
Granduc,Mine (General),Canada,Copper,Castle Resources Inc,Feasibility
Tulawaka,Mine (General),Tanzania,Silver,State Mining Corp,Normal Operation
Amesmessa,Mine (General),Algeria,Silver,Enor SPA,Care and Maintenance
Yenipazar,Mine (General),Turkey,Zinc,Virtus Mining Ltd,Feasibility
Altynalmas Kyzyl,Mine (General),Kazakhstan,Silver,LionGold Corp Ltd,Normal Operation
Uis,Mine (General),Namibia,Tin,AfriTin Mining Ltd,Normal Operation
Romina II,Mine (General),Peru,Zinc,Glencore PLC,Prefeasibility
Orkney,Mine (General),South Africa,Gold,China African Precious Metals Pty Ltd,Care and Maintenance
Polyus Concentrate,Mine (General),Russia,Gold,Polyus PAO,Normal Operation
Implied Production,Mine (General),Finland,Platinum,Finland,Normal Operation
Rajpura-Dariba,Mine (General),India,Zinc,Hindustan Zinc Ltd,Normal Operation
H.Y. Nickel-Chromite Project,Mine (General),Philippines,Nickel,Sinosteel Engineering & Technology Co Ltd,Normal Operation
Junior Lake,Mine (General),Canada,Rhodium,Landore Resources Ltd,Normal Operation
McPhee Creek Iron Ore Deposit,Mine (General),Australia,Iron Ore,Giralia Resources Pty Ltd,Unknown
Nicolaevsky,Mine (General),Russia,Zinc,Dalpolimetall,Normal Operation
Grootboom,Mine (General),South Africa,Palladium,Sedibelo Platinum Mines Ltd,Normal Operation
Implied Production Congo (RC),Mine (General),Congo (RC),Silver,Congo (RC),Normal Operation
Mahd Ad'Dahab,Mine (General),Saudi Arabia,Gold,Saudi Arabian Mining Co SJSC,Normal Operation
Buena Vista Iron Ore Deposit,Mine (General),United States,Iron Ore,Nevada Iron Limited,Unknown
Union,Mine (General),South Africa,Platinum,Siyanda Resources (Pty) Ltd,Conceptual project
Arista,Mine (General),Mexico,Zinc,Gold Resource Corp,Normal Operation
Hellyer,Mine (General),Australia,Silver,Hellyer Gold Mines Pty Ltd,Normal Operation
Qidashan Iron Ore Mine,Mine (General),China (Mainland),Iron Ore,Anshan Iron & Steel Complex,Unknown
Collahuasi,Mine (General),Chile,Silver,Anglo American PLC,Normal Operation
Bucium,Mine (General),Romania,Copper,Gabriel Resources Ltd,Conceptual project
Don Mario,Mine (General),Bolivia,Gold,Orvana Minerals Corp,Care and Maintenance
Taysan Copper/Gold Deposit,Mine (General),Philippines,Iron Ore,Crazy Horse Resources Inc,Unknown
Pissuris Iron Ore Mine,Mine (General),India,Iron Ore,Mineira Nacional Iron Ore Mines,Normal Operation
Morococha,Mine (General),Peru,Lead,Compania Minera Argentum SA,Care and Maintenance
Lake Rebecca Nickel Deposit,Mine (General),Australia,Cobalt,Kalgoorlie (Heron) Nickel Deposit,Conceptual project
Target,Mine (General),South Africa,Gold,Harmony Gold Mining Company Ltd,Normal Operation
Crixas (Serra Grande),Mine (General),Brazil,Gold,AngloGold Ashanti Ltd,Normal Operation
Dukat,Mine (General),Russia,Silver,Polymetal International PLC,Normal Operation
Coobina Chromite Mine,Mine (General),Australia,Chromite,Pilbara Chromite Pty Ltd,Normal Operation
Century,Mine (General),Australia,Zinc,New Century Resources Ltd,Normal Operation
Andash,Mine (General),Kyrgyzstan,Gold,Socagest,Normal Operation
Gümüşköy,Mine (General),Turkey,Silver,ETİ Gümüş A.Ş.,Normal Operation
Liberty,Mine (General),United States,Copper,General Moly Inc,Prefeasibility
Blötberget Iron Ore Mine,Mine (General),Sweden,Iron Ore,Nordic Iron Ore AB,Unknown
Pioneer,Mine (General),Russia,Gold,Petropavlovsk PLC,Normal Operation
Evraz Uzlovaya,Mine (General),Russia,Vanadium,Evraz Group SA,Under Construction
Tiebaghi Chromite Mine,Mine (General),New Caledonia,Chromite,Chromical Sa,Not Applicable
Suhanko Platinum,Mine (General),Finland,Silver,Suhanko Arctic Platinum Oy,Prefeasibility
Myra Falls,Mine (General),Canada,Copper,Nyrstar NV,Care and Maintenance
Nalo Baru Iron Ore Mine,Mine (General),Indonesia,Iron Ore,Earthstone Group Ltd,Normal Operation
Galore Creek,Mine (General),Canada,Gold,Galore Creek Mining Corp,Prefeasibility
Harper Creek,Mine (General),Canada,Gold,Taseko Mines Ltd,Feasibility
Central (Krivoi Rog),Mine (General),Ukraine,Iron Ore,SCM System Capital Management Ltd,Normal Operation
Barbrook,Mine (General),South Africa,Gold,Vantage Goldfields Ltd,Care and Maintenance
Jericho,Mine (General),Australia,Nickel,BHP Group Ltd,Prefeasibility
Tembang,Mine (General),Indonesia,Gold,Sumatra Copper & Gold PLC,Care and Maintenance
Minera Florida,Mine (General),Chile,Silver,Pan American Silver Corp,Normal Operation
Bozymchak,Mine (General),Kyrgyzstan,Silver,Kaz Minerals PLC,Normal Operation
Balancing item Austria iron ore mines,Mine (General),Austria,Iron Ore,Various,Normal Operation
Pinto Valley,Mine (General),United States,Silver,Capstone Mining Corp,Normal Operation
Pulang,Mine (General),China (Mainland),Copper,Yunnan Copper Co Ltd,Normal Operation
Tallawang Iron Ore Mine,Mine (General),Australia,Iron Ore,Unimin Australia Ltd,Normal Operation
Copernicus,Mine (General),Australia,Nickel,Panoramic Resources Ltd,Care and Maintenance
Implied Production Taiwan,Mine (General),Taiwan,Silver,Taiwan,Normal Operation
La Liga Alta Manganese Mine,Mine (General),Chile,Manganese Ore,Atacama Manganese Mines,Normal Operation
Kipushi,Mine (General),Congo (DRC),Copper,Ivanhoe Mines Ltd,Feasibility
Rock Creek (Alaska),Mine (General),United States,Silver,NovaGold Resources Inc,Normal Operation
Torrecillas,Mine (General),Australia,Gold,Titan Resources International Corp,Prefeasibility
Hassai,Mine (General),Sudan,Gold,La Mancha Resources Inc,Normal Operation
Zod,Mine (General),Armenia,Gold,Geopromining Ltd,Normal Operation
Qingdao,Mine (General),China (Mainland),Gold,Shandong Gold Mining Co Ltd,Normal Operation
El Monte,Mine (General),Mexico,Zinc,Trafigura Ltd,Normal Operation
Martha,Mine (General),Argentina,Silver,Patagonia Gold Corp,Care and Maintenance
Jalimar,Mine (General),Australia,Palladium,Chalice Mining Ltd,Conceptual project
Spargoville,Mine (General),Australia,Nickel,Estrella Resources Ltd,Normal Operation
Monte Do Carmo Gold,Mine (General),Brazil,Gold,Cerrado Gold Inc,Prefeasibility
Carina Iron Ore Mine,Mine (General),Australia,Iron Ore,Polaris Metals NL,Normal Operation
Beatons Creek,Mine (General),Australia,Gold,Novo Resources Corp,Conceptual project
Mount Nimba Iron Ore Mine,Mine (General),Liberia,Iron Ore,Liberian Iron Mining Corp,Unknown
Jacobina,Mine (General),Brazil,Silver,Pan American Silver Corp,Normal Operation
Lobo-Marte,Mine (General),Chile,Gold,Kinross Gold Corp,Prefeasibility
San Joaquin Iron Ore Deposit,Mine (General),Venezuela,Iron Ore,CVG Ferrominera Orinoco CA,"Project, no spec"
Tsagaan Suvarga,Mine (General),Mongolia,Copper,Mongolyn Alt MAK LLC,Under Construction
Savkino,Mine (General),Russia,Silver,Mangazeya Mining Ltd,Conceptual project
Svetloye,Mine (General),Russia,Gold,Polymetal International PLC,Normal Operation
Bloemhoek,Mine (General),South Africa,Gold,Sibanye Stillwater Ltd,Feasibility
Laurentian Pit Iron Ore Mine,Mine (General),United States,Iron Ore,Minorca Iron Ore Mine,Not Applicable
Annovsky Iron Ore Mine,Mine (General),Ukraine,Iron Ore,Severny (Krivoi Rog) Iron Ore Mine,Normal Operation
Implied Production Eritrea,Mine (General),Eritrea,Silver,Eritrea,Normal Operation
Ntem Iron Ore Deposit,Mine (General),Cameroon,Iron Ore,Afferro Mining Inc,Unknown
Snakeshead,Mine (General),Zimbabwe,Rhodium,Vast Resources PLC,Normal Operation
Lac des Iles,Mine (General),Canada,Gold,Impala Platinum Holdings Ltd,Normal Operation
Sarbaisky Iron Ore Mine,Mine (General),Kazakhstan,Iron Ore,Eurasian Natural Resources Corporation Ltd,Normal Operation
Capricorn Magnetite Iron Ore Deposit,Mine (General),South Africa,Iron Ore,Sekoko Resources (Pty) Ltd,"Project, no spec"
Novokrivorozhsky Iron Ore Mine,Mine (General),Ukraine,Iron Ore,Novokrivorozhsky Mining Complex,Not Applicable
Implied Production,Mine (General),Japan,Gold,Japan,Normal Operation
San Luis,Mine (General),Peru,Gold,SSR Mining Inc,Normal Operation
Paddington,Mine (General),Australia,Silver,Norton Gold Fields Pty Ltd,Normal Operation
Balancing item Botswana copper mines,Mine (General),Botswana,Copper,Various,Normal Operation
Rönnbäcken Nickel/Cobalt Deposit,Mine (General),Sweden,Iron Ore,Nickel Mountain Resources AB,Unknown
Hammond Reef,Mine (General),Canada,Silver,Agnico Eagle Mines Ltd,Care and Maintenance
Telangi Chrome Mine,Mine (General),India,Chromite,Industrial Development Corp Of Orissa Ltd,Normal Operation
Polo Sur,Mine (General),Chile,Copper,Antofagasta PLC,Prefeasibility
Constance Range Iron Ore Deposit,Mine (General),Australia,Iron Ore,Viento Group Ltd,Unknown
Nuasahi Chromite Mine,Mine (General),India,Chromite,IMFA Chromite Mines,Not Applicable
Radomiro Tomic Copper (SX-EW) Mine,Mine (General),Chile,Molybdenum,Corporacion Nacional del Cobre (Codelco),Normal Operation
Bayantsogt Iron Ore Deposit,Mine (General),Mongolia,Iron Ore,Selenge Iron Ore Deposit,Unknown
El Valle-Boinas/Carles,Mine (General),Spain,Copper,Orvana Minerals Corp,Normal Operation
Cerro de Maimon,Mine (General),Dominican Republic,Gold,Perilya Ltd,Normal Operation
Rana,Mine (General),Norway,Iron Ore,Rana Gruber ASA,Normal Operation
Mt Forrest Iron Ore Deposit,Mine (General),Australia,Iron Ore,Mindax Limited,Unknown
Balancing item Zimbabwe,Mine (General),Zimbabwe,Silver,Zimbabwe,Normal Operation
Sideritovaya Iron Ore Mine,Mine (General),Russia,Iron Ore,Bakalskoye Iron Ore Mines,Normal Operation
Weda Bay Nickel Deposit,Mine (General),Indonesia,Cobalt,PT Weda Bay Nickel,Feasibility
Mantoverde,Mine (General),Chile,Copper,Capstone Copper Corp,Feasibility
EC120 (El Cajon & Zone 120),Mine (General),Mexico,Silver,Americas Gold and Silver Corporation,Prefeasibility
Pyrites Plant,Mine (General),Mexico,Silver,Fresnillo PLC,Normal Operation
Atacama Manganese Mines,Mine (General),Chile,Manganese Ore,Manganesos Atacama SA,Normal Operation
