Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity,Region PADD
Mostorod (Cairo Oil Refining Company) - Vapor Recovery Unit 3,Unclassified Unit,Egypt,Oil / Oil Products,Cairo Oil Refining Company,Unknown,,
Gelsenkirchen Horst Refinery (Ruhr Oel GmbH) - A11 Topping Unit,Distillation Unit,Germany,Oil / Oil Products,Ruhr Oel GmbH,Unknown,,
BRC Antwerp (Petroplus Holdings AG) - Bitumen Plant,Unclassified Unit,Belgium,Oil / Oil Products,Petroplus Holdings AG,Unknown,,
Saint Paul Park Refinery (Marathon Petroleum Corp) - Amine MEA,Gas Processing / Treating Unit,Minnesota,Oil / Oil Products,Marathon Petroleum Corp,Unknown,,
Scotford (Shell Canada Ltd (Pre-Merger)) - SEU 41 Sulfolane (Benzene/Toluene/Xylene),Gasoline Additive Unit,Canada,Oil / Oil Products,Shell Canada Ltd (Pre-Merger 1),Unknown,,
Catlettsburg Refinery 2 - North (Catlettsburg Refining LLC) - SRU 1,Sulfur Plant,Kentucky,Oil / Oil Products,Catlettsburg Refining  LLC,Unknown,,
Mathura (Indian Oil Corporation Ltd) - FCC Gasoline Splitter Unit,Reformer Unit,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,,
Slovnaft Refinery (Slovnaft as) - SHU Selective Hydrogenation (C4 fraction),Hydrotreater Unit,Slovakia,Oil / Oil Products,Slovnaft as,Unknown,,
Chiba (Cosmo Oil Co Ltd) - Crude 2,Distillation Unit,Japan,Oil / Oil Products,Cosmo Oil Co Ltd,Unknown,,
Houston (Houston Refining LP) - HDS 633 Diesel (ULSD),Hydrotreater Unit,Texas,Oil / Oil Products,Houston Refining LP,Unknown,,
St1 Gothenburg (St1 Refinery AB) - Crude Distillation Unit 3,Distillation Unit,Sweden,Oil / Oil Products,St1 Refinery AB,Unknown,,
North Salt Lake (Big West Oil LLC) - Distillate Dewaxer,Lube Plant,Utah,Oil / Oil Products,Big West Oil LLC,Unknown,,
McPherson (CENEX HARVEST STATES) - Tank Farm,Unclassified Unit,Kansas,Oil / Oil Products,CHS Mcpherson Refinery Inc,Unknown,,
Bangkok Refinery (Bangchak Corporation Public Company Limited) - Gas Oil Hydrodesulfurization (GOHDS) 1,Hydrotreater Unit,Thailand,Oil / Oil Products,Bangchak Corporation Public Company Limited,Unknown,,
Martinez (Martinez Refining Co LLC) - Reformer Feed Hydrotreater,Hydrotreater Unit,California,Oil / Oil Products,PBF Energy Ltd,Unknown,,
Riyadh (Saudi Arabian Oil Co) - Hydrogen Production Unit I,Hydrogen Plant,Saudi Arabia,Oil / Oil Products,Saudi Arabian Oil Co,Unknown,,
Puertollano (Repsol Petroleo SA) - 661-A (SRU),Sulfur Plant,Spain,Oil / Oil Products,Repsol Petroleo SA,Unknown,,
Manali (Chennai Petroleum Corporation Ltd) - Manali 01 CT/HRSG,Power Generator,India,Oil / Oil Products,Chennai Petroleum Corporation Ltd,Unknown,,
Ponca City (Phillips 66) - HT 8 Gasoline Naphtha Desulfurizer,Hydrotreater Unit,Oklahoma,Oil / Oil Products,Phillips 66,Unknown,,
Pascagoula (Chevron Corporation) - Isomax 2 (62 Plant),Hydrocracker Unit,Mississippi,Oil / Oil Products,Chevron Corporation,Unknown,,
Refineria Ingeniero Antonio M Amor (Salamanca) (Pemex Transformacion Industrial) - Vacuum 3 ( Unit AI ) (Lube),Distillation Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,,
Kalundborg (Equinor Refining Denmark A/S) - Section 4300 (Naptha hydrotreater),Hydrotreater Unit,Denmark,Oil / Oil Products,Equinor Refining Denmark A/S,Unknown,,
Tianjin (SINOPEC Tianjin Co) - Delayed Coker 2,Coker Unit,China (Mainland),Oil / Oil Products,SINOPEC Tianjin Co,Unknown,,
Shanghai Refinery (Sinopec Shanghai Gaoqiao Petrochemical Company Limited) - Delayed Coker,Coker Unit,China (Mainland),Oil / Oil Products,Sinopec Shanghai Gaoqiao Company,Unknown,,
Sannazzaro (Eni Spa) - Gasification (Unit 30),Hydrogen Plant,Italy,Oil / Oil Products,Eni Spa,Unknown,,
Mailiao (Formosa Petrochemical Corporation) - Resid Fluid Cat Cracker 01,Catalytic Cracker Unit,Taiwan,Oil / Oil Products,Formosa Petrochemical Corporation,Unknown,,
Heide (Raffinerie Heide GmbH) - Visbreaker,Coker Unit,Germany,Oil / Oil Products,Klesch & Company Limited,Unknown,,
Mizushima Refinery (A and B Plant) (Eneos Corp) - Lube Oil Hydrodesulfurization Unit 1,Hydrotreater Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,,
La Rabida Refinery (Cepsa SA) - ETBE,Gasoline Additive Unit,Spain,Oil / Oil Products,Cepsa SA,Unknown,,
Aconcagua Refinery (Enap Refinerias SA) - Vacuum 2,Distillation Unit,Chile,Oil / Oil Products,ENAP Refinerias SA,Unknown,,
Antilles Refinery (SARA (Societe Anonyme de la Raffinerie des Antilles)) - HDT 1 (Gas Oil),Hydrotreater Unit,Martinique,Oil / Oil Products,SARA (Societe Anonyme de la Raffinerie des Antilles),Unknown,,
Schwedt Refinery (PCK Raffinerie Gmbh) - HDS (Naphtha),Hydrotreater Unit,Germany,Oil / Oil Products,PCK Raffinerie Gmbh,Unknown,,
Cangzhou (Sinopec Corp Qingdao Br China) - Hydrogen,Hydrogen Plant,China (Mainland),Oil / Oil Products,Sinopec Corp Qingdao Br China,Unknown,,
Rheinland Godorf Refinery (North) (Shell Deutschland Oil GmbH) - HTU 2 (Gasoline),Hydrotreater Unit,Germany,Oil / Oil Products,Shell Deutschland Oil GmbH,Unknown,,
Refineria Ingeniero Antonio M Amor (Salamanca) (Pemex Transformacion Industrial) - Boiler House,Unclassified Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,,
Esmeraldas (EP Petroecuador) - Gascon,Gas Processing / Treating Unit,Ecuador,Oil / Oil Products,EP Petroecuador,Unknown,,
Mumbai (Hindustan Petroleum Corporation Limited) - Tank Farm,Tank Farm,India,Oil / Oil Products,Hindustan Petroleum Corp Ltd,Unknown,,
Aspropyrgos (Hellenic Petroleum S A) - LPG,Gas Processing / Treating Unit,Greece,Oil / Oil Products,HELLENIC ASPROPYRGOS SA,Unknown,,
Refineria Francisco I Madero (Ciudad Madero) (Pemex Transformacion Industrial) - Francisco Madero STG 03,Power Generator,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,,
Trainer Refinery (Monroe Energy LLC) - Naphtha Splitter,Unclassified Unit,Pennsylvania,Oil / Oil Products,Monroe Energy LLC,Unknown,,
Barrancabermeja Refinery (Ecopetrol) - FCCU (UOP 2),Catalytic Cracker Unit,Colombia,Oil / Oil Products,Ecopetrol,Unknown,,
Yinchuan (PetroChina Ningxia Petrochemical Company) - Gasoline Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,PetroChina Ningxia Petrochemical Company,Unknown,,
Bill Greehey Refinery - West (Corpus Christi) (Valero Refining Company) - Hydrogen PSA,Hydrogen Plant,Texas,Oil / Oil Products,Valero Refining Company,Unknown,,
Cartagena (Ecopetrol SA) - Tank Farm,Tank Farm,Colombia,Oil / Oil Products,Ecopetrol SA,Unknown,,
Mildred Lake Oil Sands Upgrader & Refinery (Syncrude Canada Ltd) - Naphtha Hydrotreater 1 (Plant 13-1),Hydrotreater Unit,Canada,Oil / Oil Products,Syncrude Canada Ltd,Unknown,,
Yokkaichi (Cosmo Oil Company Limited) - Hydrogen Recovery Unit,Hydrogen Plant,Japan,Oil / Oil Products,Cosmo Oil Co Ltd,Unknown,,
Los Angeles Wilmington Refinery (Marathon Petroleum Co) - Crude Distillation,Distillation Unit,California,Oil / Oil Products,Marathon Petroleum Co,Unknown,,
Lingen (BP Europa SE) - Emsland 01 CT/HRSG,Power Generator,Germany,Oil / Oil Products,BP Europa SE,Unknown,,
Liaoyang Refinery (PetroChina Liaoyang Petrochemical Company) - Sulfur Recovery 1,Sulfur Plant,China (Mainland),Oil / Oil Products,PetroChina Liaoyang Petrochemical Company,Unknown,,
Limay Bataan Refinery (Petron Corp) - SRU,Sulfur Plant,Philippines,Oil / Oil Products,Petron Corp,Unknown,,
Vicksburg (Ergon) - HP2,Hydrogen Plant,Mississippi,Oil / Oil Products,Ergon,Unknown,,
Kermanshah (Kermanshah Oil Refining Company (KORC)) - Naphtha Hydrotreater 1,Hydrotreater Unit,Iran,Oil / Oil Products,Kermanshah Oil Refining Company (KORC),Unknown,,
Fos-sur-Mer (Esso Raffinage SAF) - Scanfiner,Hydrotreater Unit,,Oil / Oil Products,Esso Raffinage SAF,Unknown,,
Buenos Aires (Raizen Energia SA) - Dewaxer,Lube Plant,Argentina,Oil / Oil Products,Raizen Energia SA,Unknown,,
Omsk Refinery (Gazprom Neft' PAO) - Sulfolane Extraction (C400),Gasoline Additive Unit,Siberian Federal District,Oil / Oil Products,Gazprom Neft' PAO,Unknown,,
Woods Cross (HF Sinclair Corporation) - SRU 17,Sulfur Plant,Utah,Oil / Oil Products,HollyFrontier Corp,Unknown,,
Yokkaichi (Showa Yokkaichi Sekiyu Company Limited) - No.5 FCCU Gasoline Hydrotreater (HT-5),Hydrotreater Unit,Japan,Oil / Oil Products,Showa Yokkaichi Sekiyu Company Limited,Unknown,,
Numaligarh (Numaligarh Refinery Limited) - Delayed Coker Unit,Coker Unit,India,Oil / Oil Products,Numaligarh Refinery Limited,Unknown,,
Catlettsburg Refinery 1 - South (Marathon) - Cumene,Unclassified Unit,Kentucky,Oil / Oil Products,Marathon,Unknown,,
Mount Vernon (Countrymark Cooperative Inc) - CCR (Continuous Catalytic Reformer),Reformer Unit,Indiana,Oil / Oil Products,Countrymark Cooperative Inc,Unknown,,
Schwechat (OMV AG) - Fuel Oil Blending,Unclassified Unit,Austria,Oil / Oil Products,Omv AG,Unknown,,
Nynashamn Refinery (Nynas Petroleum) - Cooling Water Supply,Unclassified Unit,Sweden,Oil / Oil Products,Nynas Petroleum,Unknown,,
Chalmette (Chalmette Refining LLC) - SRU 2,Sulfur Plant,Louisiana,Oil / Oil Products,PBF Holding Company LLC,Unknown,,
Galveston Bay Refinery (GBR) (Marathon Petroleum Co) - RHU Residual HF (Crude Area),Hydrocracker Unit,Texas,Oil / Oil Products,Marathon Petroleum Company LP,Unknown,,
Ufa Oil Refinery (Bashneft ANK PAO) - Hydrogen (UPB-20),Hydrogen Plant,Volga Federal District,Oil / Oil Products,ANK Bashneft' PAO,Unknown,,
Lake Charles (CITGO Petroleum Corp) - SRU E (Acid Area),Sulfur Plant,Louisiana,Oil / Oil Products,CITGO Petroleum Corp,Unknown,,
Jebel Ali (Emirates National Oil Co Ltd Enoc L L C) - Amine Regeneration Unit,Gas Processing / Treating Unit,Dubai,Oil / Oil Products,Emirates National Oil Co Ltd Enoc L L C,Unknown,,
Priolo Gargallo ISAB Refinery (North) (Lukoil PJSC) - Alkylation (CR 36),Alkylate Plant,Italy,Oil / Oil Products,Lukoil PJSC,Unknown,,
Torrance (Torrance Refining Company LLC) - Expander Turb/Gen,Power Generator,California,Oil / Oil Products,Torrance Refining Company LLC,Unknown,,
Dongying Refinery (Dongying Hualian Petrochemical Company Limited) - Delayed Coker 1,Coker Unit,China (Mainland),Oil / Oil Products,Dongying Hualian Petrochemical Company Limited,Unknown,,
Chalmette (Chalmette Refining LLC) - Orthoxylene,Gasoline Additive Unit,Louisiana,Oil / Oil Products,Chalmette Refining LLC,Unknown,,
Talin (Dalin) Refinery (Chinese Petroleum Corporation (CPC)) - Hydrogen 2,Hydrogen Plant,Taiwan,Oil / Oil Products,CPC Corp,Unknown,,
Benicia (Valero Refining Co) - Cat Feed Hydrofiner,Hydrotreater Unit,California,Oil / Oil Products,Valero Refining Co,Unknown,,
Maoming (Sinopec Maoming Company Limited) - Distillate Hydrocracker 2,Hydrocracker Unit,China (Mainland),Oil / Oil Products,Sinopec Maoming Company Limited,Unknown,,
Saint John Refinery (Irving Oil Limited) - Amine Treatment,Gas Processing / Treating Unit,Canada,Oil / Oil Products,Irving Oil Ltd,Unknown,,
Ferndale (Phillips 66) - Gasoline Desulfurizer,Hydrotreater Unit,Washington,Oil / Oil Products,Phillips 66,Unknown,,
Sandersville (Hunt Refining Co) - Vacuum Distillation,Distillation Unit,Mississippi,Oil / Oil Products,Hunt Refining Co,Unknown,,
Pancevo Refinery (Gazprom Neft' PAO) - Merox (LPG),Gas Processing / Treating Unit,Serbia,Oil / Oil Products,Gazprom Neft' PAO,Unknown,,
Corpus Christi Refinery - West (Flint Hills Resources LLC) - Hydrocracker Gas Oil,Hydrocracker Unit,Texas,Oil / Oil Products,Flint Hills Resources LP,Unknown,,
Zarqa Refinery (Jordan Petroleum Refinery Co (Jprc)) - Hydrogen Production Unit,Hydrogen Plant,Jordan,Oil / Oil Products,Jordan Petroleum Refinery Co (Jprc),Unknown,,
Bill Greehey Refinery-East (Valero Refining Co) - Wastewater Treatment,Water Treatment Unit,Texas,Oil / Oil Products,Valero Energy Corp,Unknown,,
Mina Al-Fahal Refinery (Oman Oil Refineries and Petroleum Industries Co LLC) - Diesel Hydrodesulfurization,Hydrotreater Unit,Oman,Oil / Oil Products,Oman Oil Refineries and Petroleum Industries Company,Unknown,,
Toledo (BP-Husky Refining LLC) - SRU (EPA Unit),Sulfur Plant,Ohio,Oil / Oil Products,BP-Husky Refining LLC,Unknown,,
Panipat (Indian Oil Corporation Limited) - Benzene Extraction Unit,Unclassified Unit,India,Oil / Oil Products,Indian Oil Corpn Ltd,Unknown,,
Refinaria de Mataripe (ex RLAM) (Petroleo Brasileiro SA Petrobras) - Diesel Hydrotreater (U-37),Hydrotreater Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,,
RU VII - Kasim Refinery (PT Pertamina Persero) - Naphtha Hydrotreater,Hydrotreater Unit,Indonesia,Oil / Oil Products,PT Pertamina Persero,Unknown,,
Sergio Soto (CUPET) - Distillation ( Crude ),Distillation Unit,Cuba,Oil / Oil Products,CUPET,Unknown,,
Jamnagar Refinery Special Economic Zone (Reliance Industries Limited) - DHT/DHDS 2,Hydrotreater Unit,India,Oil / Oil Products,Reliance Industries Limited,Unknown,,
Paulsboro (Paulsboro Refining Company) - CHD 2 (Aviation Fuel HT),Hydrotreater Unit,New Jersey,Oil / Oil Products,Paulsboro Refining Company,Unknown,,
Keihin (Toa Oil Co Ltd) - Benzene Extraction Unit,Lube Plant,Japan,Oil / Oil Products,Toa Oil Co Ltd,Unknown,,
Szazhalombatta Duna Refinery (MOL Magyar Olajes Gazipari Nyrt) - Naphtha Desulfurization 4,Hydrotreater Unit,Hungary,Oil / Oil Products,MOL Magyar Olajes Gazipari Nyrt,Unknown,,
Brod Bitumen Blending Plant (Zarubezhneft JSC) - Atmospheric Distillation (Unit 31),Distillation Unit,Bosnia and Herzegovina,Oil / Oil Products,Zarubezhneft AO,Unknown,,
Mangalore (Mangalore Refinery & Petrochemicals Limited) - Gas Oil Hydrodesulfurizer Unit,Hydrotreater Unit,India,Oil / Oil Products,Mangalore Refinery & Petrochemicals Limited,Unknown,,
Beaumont (ExxonMobil Corporation) - Hydrocracker,Hydrocracker Unit,Texas,Oil / Oil Products,ExxonMobil Corporation,Unknown,,
Alexandria Refinery (ANRPC) (Alexandria National Refining and Petrochemicals Company) - Reformer Unit 1,Reformer Unit,Egypt,Oil / Oil Products,Alexandria National Refining and Petrochemical Co SAE,Unknown,,
Strathcona Refinery (Imperial Oil Ltd) - Tank Farm,Tank Farm,Canada,Oil / Oil Products,Imperial Oil Ltd,Unknown,,
Taranto (Eni Spa) - Unit 2200 (Hydrogen Production 1),Hydrogen Plant,Italy,Oil / Oil Products,Eni Spa,Unknown,,
Preemraff Gothenburg Refinery (Preem AB) - Sulphur Recovery Unit 2,Sulfur Plant,Sweden,Oil / Oil Products,Preem AB,Unknown,,
Wakayama (ENEOS Corporation) - Propane Dewaxing 1,Lube Plant,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,,
Nanjing Refinery (SINOPEC Yangzi Petrochemical Company Limited) - Nanjing ST 05,Power Generator,China (Mainland),Oil / Oil Products,Sinopec Yangzi Petrochemical Co Ltd,Unknown,,
Richmond (Chevron Corporation) - South Isomax TKC Fluid Cat Cracker Hydrotreater,Hydrotreater Unit,California,Oil / Oil Products,Chevron Corporation,Unknown,,
Ulsan (SK Energy Company Limited) - Regenerative Thermal Oxidizer (RTO) Unit 1,Unclassified Unit,South Korea,Oil / Oil Products,SK Innovation Corp,Unknown,,
Jilin (PetroChina Jilin Petrochemical Company Limited) - Delayed Coker,Coker Unit,China (Mainland),Oil / Oil Products,PetroChina Jilin Petrochemical Company Limited,Unknown,,
Antwerpen (TotalEnergies SE) - Aromatics 1,Gasoline Additive Unit,Belgium,Oil / Oil Products,Total SE,Unknown,,
Memphis (Valero Refining Co) - Vacuum Distillation,Distillation Unit,Tennessee,Oil / Oil Products,Valero Refining Co,Unknown,,
Refinaria Alberto Pasqualini (REFAP) (Petroleo Brasileiro SA Petrobras) - Crude 1 (U-01),Distillation Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,,
Pulau Bukom Refinery (Shell Eastern Petroleum Pte Ltd) - Ultra Deep Desulfurization Unit (Gasoil),Hydrotreater Unit,Singapore,Oil / Oil Products,Shell Eastern Petroleum Pte Ltd,Unknown,,
"Kralupy (ORLEN Unipetrol RPA, s.r.o.) - 3 CS (FCCU Gasoline 3 Cut Splitter)",Reformer Unit,Czech Republic,Oil / Oil Products,Unipetrol as,Unknown,,
Fort McMurray Oil Sands Upgrader (Horizon Oil Sands) (Canadian Natural Resources Ltd (Pre-Merger)) - Delayed Coker Unit (DCU) Plant 33,Coker Unit,Canada,Oil / Oil Products,Canadian Natural Resources Ltd (Pre-Merger),Unknown,,
Mazeikiai Refinery (Orlen Lietuva AB) - Solvent Deasphalting,Lube Plant,Lithuania,Oil / Oil Products,Orlen Lietuva AB,Unknown,,
Denver Refinery - Plant 2 (East) (Suncor Energy Incorporated) - Vacuum Distillation 2,Distillation Unit,Colorado,Oil / Oil Products,Suncor Energy Incorporated,Unknown,,
Mina Al-Ahmadi (Kuwait National Petroleum Company) - Bitumen Unit,Asphalt Plant,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Unknown,,
Nixon Refinery (Lazarus Energy LLC) - Crude,Distillation Unit,Texas,Oil / Oil Products,Lazarus Energy LLC,Unknown,,
Baytown (ExxonMobil Corporation) - Light Gas Oil/Diesel (LSD) Hydrofiner,Hydrotreater Unit,Texas,Oil / Oil Products,ExxonMobil Corporation,Unknown,,
Pine Bend Refinery (Flint Hills Resources LLC) - Hydrogen 1 (Unit 33),Hydrogen Plant,Minnesota,Oil / Oil Products,Flint Hills Resources LP,Unknown,,
Lake Charles (Calcasieu Refining Co) - Wastewater Treatment,Water Treatment Unit,Louisiana,Oil / Oil Products,Calcasieu Refining Co,Unknown,,
Castellon (BP Oil Espana SA) - Hydrosweeting 2 (Kerosene/Gas Oil),Hydrotreater Unit,Spain,Oil / Oil Products,Bp Energia Espana SA,Unknown,,
Preemraff Lysekil Refinery (Preem AB) - Flare 1,Unclassified Unit,Sweden,Oil / Oil Products,Preem AB,Unknown,,
Anacortes (Marathon Petroleum Corporation) - Selective Hydrogenation Unit (SHU),Hydrotreater Unit,Washington,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,,
Augusta (Sonatrach) - Exolfiner-2 (EFU-2),Gasoline Additive Unit,Italy,Oil / Oil Products,Sonatrach,Unknown,,
Slagen (Esso Norge AS) - HT (Kerosene/Jet),Hydrotreater Unit,Norway,Oil / Oil Products,Esso Norge AS Forus,Unknown,,
Huludao Refinery (Petrochina Jinxi Petrochemical Design House) - Diesel Hydrotreater 1,Hydrotreater Unit,North-East China,Oil / Oil Products,Petrochina Jinxi Petrochemical Design House,Unknown,,
Sendai Refinery (ENEOS Corporation) - Gas Washing Unit 3,Water Treatment Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,,
Paulsboro (Paulsboro Refining Company) - Vacuum 6,Distillation Unit,New Jersey,Oil / Oil Products,Paulsboro Refining Company,Unknown,,
Yanbu SAMREF Refinery (Saudi Aramco Mobil Refinery Ltd) - Isomerization Unit,Isomerate Plant,Saudi Arabia,Oil / Oil Products,Saudi Aramco Mobil Refinery Ltd,Unknown,,
Humber Refinery (Phillips 66) - Calciner 1,Coker Unit,United Kingdom,Oil / Oil Products,Phillips 66,Unknown,,
Nizhegorodnefteorgsintez Refinery (Lukoil-Nizhegorodnefteorgsintez OAO) - Continuous Catalytic Reformer (LF-35/21-1000),Reformer Unit,Volga Federal District,Oil / Oil Products,Lukoil-Nizhegorodnefteorgsintez OAO,Unknown,,
Gdansk (Grupa Lotos SA) - Vacuum (900),Distillation Unit,Poland,Oil / Oil Products,Grupa Lotos SA,Unknown,,
Jilin (PetroChina Jilin Petrochemical Company Limited) - Sulfur Recovery Unit 2,Sulfur Plant,China (Mainland),Oil / Oil Products,CNPC Jilin Petrochemical Co. Limited,Unknown,,
Ulsan (SK Energy Company Limited) - Asphalt Unit,Asphalt Plant,South Korea,Oil / Oil Products,SK Energy Company Limited,Unknown,,
Amuay Refinery (Petroleos de Venezuela SA) - Tank Farm,Tank Farm,Venezuela,Oil / Oil Products,Petroleos de Venezuela SA,Unknown,,
Lujan de Cuyo (YPF SA) - HDS 1 (Diesel),Hydrotreater Unit,Argentina,Oil / Oil Products,YPF SA,Unknown,,
Zibo Refinery (Shandong Jincheng Petrochemical Group Company Limited) - CDU 2,Distillation Unit,China (Mainland),Oil / Oil Products,Shandong Jincheng Petrochemical Group Co Ltd,Unknown,,
Beaumont (ExxonMobil Corporation) - FCCU,Catalytic Cracker Unit,Texas,Oil / Oil Products,ExxonMobil Corporation,Unknown,,
Wakayama (ENEOS Corporation) - Alkylation,Alkylate Plant,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,,
Preemraff Gothenburg Refinery (Preem AB) - Wastewater Treatment,Water Treatment Unit,Sweden,Oil / Oil Products,Preemraff,Unknown,,
Taranto (Eni Spa) - Unit 2000 (Claus 2),Sulfur Plant,Italy,Oil / Oil Products,Eni Spa,Unknown,,
Refineria Miguel Hidalgo (Tula De Allende) (Pemex Transformacion Industrial) - Sour Water Treatment 2,Water Treatment Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,,
Mangalore (Mangalore Refinery & Petrochemicals Limited) - Crumb Rubber Modified Bitumen 1,Unclassified Unit,India,Oil / Oil Products,Mangalore Refinery & Petrochemicals Limited,Unknown,,
Bongaigaon (Indian Oil Corporation Limited) - CDU 1,Distillation Unit,India,Oil / Oil Products,Indian Oil Corporation Limited,Unknown,,
Brod Bitumen Blending Plant (Zarubezhneft JSC) - HDS Kerosene (Unit 34),Hydrotreater Unit,Bosnia and Herzegovina,Oil / Oil Products,Zarubezhneft AO,Unknown,,
Jamnagar Refinery Special Economic Zone (Reliance Industries Limited) - LCO Hydrocracker,Hydrocracker Unit,India,Oil / Oil Products,Reliance Industries Limited,Unknown,,
Paulsboro (Paulsboro Refining Company) - Vacuum 7,Distillation Unit,New Jersey,Oil / Oil Products,Paulsboro Refining Company,Unknown,,
Denver Refinery - Plant 1 (West) (Suncor Energy Incorporated) - Crude 1 (Sweet),Distillation Unit,Colorado,Oil / Oil Products,Suncor Energy Incorporated,Unknown,,
Najaf Refinery (Midland Refineries Company) - CDU II,Distillation Unit,Iraq,Oil / Oil Products,Midland Refineries Company,Unknown,,
Hohhot (PetroChina Hohhot Petrochemical Company Limited) - Diesel Hydrotreater 1,Hydrotreater Unit,China (Mainland),Oil / Oil Products,PetroChina Hohhot Petrochemical Company Limited,Unknown,,
Paulsboro (Paulsboro Refining Company) - Unit 01 GT/HRSG,Power Generator,New Jersey,Oil / Oil Products,Paulsboro Refining Company LLC,Unknown,,
Yanbu SAMREF Refinery (Saudi Aramco Mobil Refinery Ltd) - Naphtha Hydrotreater,Hydrotreater Unit,Saudi Arabia,Oil / Oil Products,Saudi Aramco Mobil Refinery Ltd,Unknown,,
Sendai Refinery (ENEOS Corporation) - Gasoline Separating Unit 1,Hydrotreater Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,,
Gdansk (Grupa Lotos SA) - ROSE (920),Coker Unit,Poland,Oil / Oil Products,Grupa Lotos SA,Unknown,,
Humber Refinery (Phillips 66) - Calciner 2,Coker Unit,United Kingdom,Oil / Oil Products,Phillips 66,Unknown,,
La Pampilla Refinery (Repsol Petroleo Peru SA) - FCCU (U-21),Catalytic Cracker Unit,Peru,Oil / Oil Products,Repsol Petroleo Peru SA,Unknown,,
Lukoil Neftochim Burgas Refinery (Lukoil Bulgaria EOOD) - AD 5 (Atmospheric Distillation),Distillation Unit,Bulgaria,Oil / Oil Products,Lukoil Bulgaria EOOD,Unknown,,
Priolo Gargallo ISAB Refinery (South) (Lukoil PJSC) - Unit 100 Topping,Distillation Unit,Italy,Oil / Oil Products,Lukoil PJSC,Unknown,,
Augusta (Sonatrach) - SWS,Water Treatment Unit,Italy,Oil / Oil Products,Sonatrach,Unknown,,
Gelsenkirchen Scholven Refinery (BP PLC) - Cooling Water,Unclassified Unit,Germany,Oil / Oil Products,Ruhr Oel GmbH,Unknown,,
Baytown (ExxonMobil Corporation) - SRU B (HDS),Sulfur Plant,Texas,Oil / Oil Products,EXXON,Unknown,,
Ingolstadt (Gunvor Raffinerie Ingolstadt GmbH) - Vacuum 1,Distillation Unit,Germany,Oil / Oil Products,Gunvor Deutschland GmbH,Unknown,,
Preemraff Lysekil Refinery (Preem AB) - Blending Station 2,Unclassified Unit,Sweden,Oil / Oil Products,Preem Lysekil,Unknown,,
Kochi (Bharat Petroleum Corporation Limited) - CDU 2,Distillation Unit,India,Oil / Oil Products,Bharat Petroleum Corporation Limited,Unknown,,
Castellon (BP Oil Espana SA) - Amine 1,Gas Processing / Treating Unit,Spain,Oil / Oil Products,Bp Energia Espana SA,Unknown,,
Izmir (Turkiye Petrol Rafinerileri AS) - Propane Deasphalting (Plt 1200),Lube Plant,Turkey,Oil / Oil Products,Turkish Petroleum Refineries Corporation,Unknown,,
Texas City (Valero Refining Co) - LRU,Unclassified Unit,Texas,Oil / Oil Products,Valero Refining Co,Unknown,,
"Kralupy (ORLEN Unipetrol RPA, s.r.o.) - PS 239c ETBE/MTBE",Gasoline Additive Unit,Czech Republic,Oil / Oil Products,Unipetrol as,Unknown,,
Pulau Bukom Refinery (Shell Eastern Petroleum Pte Ltd) - Alkylation Unit,Alkylate Plant,Singapore,Oil / Oil Products,Shell Eastern Petroleum Pte Ltd,Unknown,,
Campo Duran (Refinor) - Campo Duran 04,Power Generator,Argentina,Oil / Oil Products,Refinor,Unknown,,
Port Arthur (Motiva Enterprises LLC) - Vacuum Tower 2 (Part of VPS 2),Distillation Unit,Texas,Oil / Oil Products,Motiva Enterprises LLC,Unknown,,
Sannazzaro (Eni Spa) - Alkylation (Unit 55),Alkylate Plant,Italy,Oil / Oil Products,Eni Spa,Unknown,,
Fort McMurray Oil Sands Upgrader (Horizon Oil Sands) (Canadian Natural Resources Ltd (Pre-Merger)) - Diluent Recovery Unit (Plant 31),Unclassified Unit,Canada,Oil / Oil Products,Canadian Natural Resources Ltd (Pre-Merger),Unknown,,
Ancona (Api Raffineria Di Ancona S p A) - Oxy,Unclassified Unit,Italy,Oil / Oil Products,Api Anonima Petroli Italiana SpA,Unknown,,
Chalmette (Chalmette Refining LLC) - Amine 1 DGA,Gas Processing / Treating Unit,Louisiana,Oil / Oil Products,Chalmette Refining LLC,Unknown,,
