Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Barrels),Region PADD,Primary Shareholders
Mildred Lake Oil Sands Upgrader & Refinery (Syncrude Canada Ltd) - Hydrogen 2,Hydrogen Plant,Canada,Oil / Oil Products,Syncrude Canada Ltd,Unknown,--,,
Puget Sound Refinery (HF Sinclair Corp) - Amine Recovery (ARU) MDEA (Area 2),Gas Processing / Treating Unit,Washington,Oil / Oil Products,Royal Dutch Shell PLC,Unknown,--,,Shell
Homs (Homs Refinery Company) - Naphtha Hydrotreater 1 (Unit 200),Hydrotreater Unit,Syria,Oil / Oil Products,Homs Refinery Company,Unknown,--,,PDVSA
Refineria Ingeniero Hector R Lara Sosa (Cadereyta) (Pemex Transformacion Industrial) - Cogeneration ( Cogen ),Power Generator,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,--,,Pemex
Los Angeles Refinery - Wilmington (Phillips 66) - SF Alkylation 110,Alkylate Plant,California,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66 Ltd
Gelsenkirchen Scholven Refinery (BP PLC) - Liquid Cracker (Olefine 4),Unclassified Unit,Germany,Oil / Oil Products,Ruhr Oel GmbH,Unknown,--,,
Los Angeles Carson Refinery (Marathon Petroleum Corporation) - Hydrodesulfurizer #2 (Reformer Feed),Hydrotreater Unit,California,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Andeavor
Qingdao (Sinopec Qingdao Petrochemical Company Limited) - DCU,Coker Unit,China (Mainland),Oil / Oil Products,Sinopec Qingdao Petrochemical Company Limited,Unknown,--,,Sinopec Corp
La Coruna (Repsol Petroleo SA) - Hydrogenizing Butadiene Unit,Unclassified Unit,Spain,Oil / Oil Products,Repsol SA,Unknown,--,,Repsol
Mizushima Refinery (A and B Plant) (Eneos Corp) - Sulfolane Extraction Unit 1,Gasoline Additive Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
Ruwais Refinery 1 (East) (ADNOC Refining) - Mild Hydrocracker,Hydrocracker Unit,United Arab Emirates,Oil / Oil Products,Abu Dubai Oil Refining Company (ADNOC),Unknown,--,,
Jurong Refinery (Mainland) (ExxonMobil Asia Pacific Pte Ltd) - Hydrocracker (MPHC),Hydrocracker Unit,Singapore,Oil / Oil Products,ExxonMobil Asia Pacific Pte Ltd,Unknown,--,,Exxon Mobil Corp
Port Arthur (Motiva Enterprises LLC) - PP 02 GEN 27 STG,Power Generator,Texas,Oil / Oil Products,Motiva Enterprises LLC,Unknown,--,,Saudi Aramco
Meraux (Valero Refining Company) - Naphtha (Reformer Feed) Hydrotreater,Hydrotreater Unit,Louisiana,Oil / Oil Products,Valero Refining Company,Unknown,--,,Valero Energy Corp
Deer Park (Deer Park Refining LP) - Diesel Hydrotreater DHT (ULSD),Hydrotreater Unit,Texas,Oil / Oil Products,Deer Park Refining LP,Unknown,--,,Pemex
Sweeny (Phillips 66) - SRU 28 Train C,Sulfur Plant,Texas,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
El Paso North Refinery (Marathon Petroleum Corp) - WWTP,Water Treatment Unit,Texas,Oil / Oil Products,Western Refining Inc,Unknown,--,,
Montreal (Suncor Energy Incorporated) - Poly,Polymerization Plant,Canada,Oil / Oil Products,Suncor Energy Incorporated,Unknown,--,,Petro Canada
Sweeny (Phillips 66) - Amine MDEA 28,Gas Processing / Treating Unit,Texas,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
Deer Park (Deer Park Refining LP) - VF-3 (Vacuum Flasher),Distillation Unit,Texas,Oil / Oil Products,Deer Park Refining LP,Unknown,--,,Pemex
SASREF Al Jubail Refinery (Saudi Aramco Shell Refinery Co) - Crude Distillation Unit-1,Distillation Unit,Saudi Arabia,Oil / Oil Products,Saudi Aramco Shell Refinery Co,Unknown,--,,Saudi Aramco
Zibo Qilu Refinery (Sinopec Qilu Company Limited) - Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,Sinopec Qilu Co.,Unknown,--,,
Holborn Refinery (Holborn Europa Raffinerie GmbH) - Ship Loading,Loading Facility,Germany,Oil / Oil Products,Holborn Europa Raffinerie GmbH,Unknown,--,,Tamoil
Bilbao Refinery (Petronor SA) - G-1 (Kerosene/Diesel Hydrotreater),Hydrotreater Unit,Spain,Oil / Oil Products,Petronor S A,Unknown,--,,Repsol Petroleo SA
Lemont (CITGO Petroleum Corp) - Lemont BH,Unclassified Unit,Illinois,Oil / Oil Products,CITGO Petroleum Corp,Unknown,--,,CITGO Petroleum Corp
Quanzhou Refinery (Fujian Refining & Petrochemical Company Limited) - CDU 1,Distillation Unit,China (Mainland),Oil / Oil Products,Fujian Refining & Petrochemical Company Limited,Unknown,--,,Exxon Mobil Corp
Gelsenkirchen Horst Refinery (Ruhr Oel GmbH) - Hydrotreater,Hydrotreater Unit,Germany,Oil / Oil Products,Ruhr Oel GmbH,Unknown,--,,BP PLC
Saint Paul Park Refinery (Marathon Petroleum Corp) - Hydrogen Recovery,Hydrogen Plant,Minnesota,Oil / Oil Products,Marathon Petroleum Corp,Unknown,--,,Marathon Petroleum Corp
Catlettsburg Refinery 2 - North (Catlettsburg Refining LLC) - Naphtha CCR Pretreater,Hydrotreater Unit,Kentucky,Oil / Oil Products,Catlettsburg Refining LLC,Unknown,--,,Marathon Oil Corp
Refineria Ingeniero Hector R Lara Sosa (Cadereyta) (Pemex Transformacion Industrial) - Flare,Unclassified Unit,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,--,,Pemex
Mathura (Indian Oil Corporation Ltd) - Naphtha Merox (Visbreaker Naphtha),Gas Processing / Treating Unit,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Slovnaft Refinery (Slovnaft as) - Alkylation,Alkylate Plant,Slovakia,Oil / Oil Products,Slovnaft as,Unknown,--,,MOL Magyar Olajes Gazipari Nyrt
Keihin (Toa Oil Co Ltd) - Coker Naphtha Hydrotreater,Hydrotreater Unit,Japan,Oil / Oil Products,Toa Oil Co Ltd,Unknown,--,,Toa Oil
Kenai (Marathon Petroleum Corporation) - Cooling Tower Cat Engine,Power Generator,Alaska,Oil / Oil Products,Marathon Petroleum Corp,Unknown,--,,Andeavor
"Litvinov (ORLEN Unipetrol RPA, s.r.o.) - Tank Farm",Tank Farm,Czech Republic,Oil / Oil Products,Unipetrol a.s.,Unknown,--,,PKN Orlen
Stanlow (Essar Oil UK) - Hydrotreater Cat Feed,Hydrotreater Unit,United Kingdom,Oil / Oil Products,Essar Oil UK,Unknown,--,,Nayara Energy Ltd
Incheon (SK Incheon Petrochem Co Ltd) - LPG Merox (Light Ends Recovery) Unit 1,Gas Processing / Treating Unit,South Korea,Oil / Oil Products,SK Incheon Petrochem Co Ltd,Unknown,--,,SK Networks Resources Australia Pty Ltd
Szazhalombatta Duna Refinery (MOL Magyar Olajes Gazipari Nyrt) - LPG Blending,Unclassified Unit,Hungary,Oil / Oil Products,MOL Magyar Olajes Gazipari Nyrt,Unknown,--,,MOL
Plock (PKN Orlen SA) - LPG Blending,Gas Processing / Treating Unit,Poland,Oil / Oil Products,PKN Orlen SA,Unknown,--,,PKN Orlen
PetroIneos Lavera Refinery (Petroineos Manufacturing France SAS) - Amine Extraction Unit,Gas Processing / Treating Unit,,Oil / Oil Products,Petroineos Manufacturing France SAS,Unknown,--,,INEOS Group Holdings Ltd
Geelong (Viva Energy Australia Group Pty Ltd) - Reformer CCR,Reformer Unit,Australia,Oil / Oil Products,Viva Energy Australia Group Pty Ltd,Unknown,--,,Shell
Milazzo (Raffineria di Milazzo SpA) - U500 HDT 2 Naphtha,Hydrotreater Unit,Italy,Oil / Oil Products,Raffineria di Milazzo SCpA,Unknown,--,,Eni SpA
Par East Refinery (Par Hawaii Refining LLC) - Cogen CT/HRSG (Jet/Kerosene),Power Generator,Hawaii,Oil / Oil Products,Par Hawaii Refining LLC,Unknown,--,,Andeavor
Anacortes (Marathon Petroleum Corporation) - SF Alkylation,Alkylate Plant,Washington,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Andeavor
Saint John Refinery (Irving Oil Limited) - Dehexanizer,Unclassified Unit,Canada,Oil / Oil Products,Irving Oil Ltd,Unknown,--,,Irving Oil
Renqiu Refinery (CNPC Huabei Petrochemical Company Limited) - Gasoline Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,CNPC Huabei Petrochemical Company Limited,Unknown,--,,China Petroleum & Chemical Corporation
Gelsenkirchen Scholven Refinery (BP PLC) - Toluene Dealkylation,Unclassified Unit,Germany,Oil / Oil Products,Ruhr Oel GmbH,Unknown,--,,
Mina Al-Ahmadi (Kuwait National Petroleum Company) - Sulfur Recovery Unit -II,Sulfur Plant,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Unknown,--,,Kuwaiti National Petroleum Co
Ingolstadt (Gunvor Raffinerie Ingolstadt GmbH) - Claus,Sulfur Plant,Germany,Oil / Oil Products,Gunvor Deutschland GmbH,Unknown,--,,Gunvor International B.V.
Toledo (BP-Husky Refining LLC) - Diesel DHT ULSD (Train B),Hydrotreater Unit,Ohio,Oil / Oil Products,BP-Husky Refining LLC,Unknown,--,,BP PLC
Visakhapatnam (Hindustan Petroleum Corporation Limited) - DHDS,Hydrotreater Unit,India,Oil / Oil Products,Hindustan Petroleum Corporation Limited,Unknown,--,,Hindustan Petroleum Corp Ltd
Pine Bend Refinery (Flint Hills Resources LLC) - Old Crude 11-2,Distillation Unit,Minnesota,Oil / Oil Products,Flint Hills Resources LP,Unknown,--,,Flint Hills Resources
Mozyr (Mozyr Oil Refinery JSC) - FCCU Hydrodesulfurization,Hydrotreater Unit,Belarus,Oil / Oil Products,Mozyr Oil Refinery JSC,Unknown,--,,Slavneftekhim IP ZAO
Sinclair (HF Sinclair Corporation) - Polymerization,Polymerization Plant,Wyoming,Oil / Oil Products,Sinclair Oil Corp,Unknown,--,,Sinclair Oil Corp
Jurong Island (PAC) Refinery (ExxonMobil Asia Pacific Pte Ltd) - Hydrogen (Production),Hydrogen Plant,Singapore,Oil / Oil Products,ExxonMobil Asia Pacific Pte Ltd,Unknown,--,,Exxon Mobil Corp
Seosan Daesan Refinery (Hyundai Oilbank Company Limited) - KMX (Kerosene Merox) Unit 1,Hydrotreater Unit,South Korea,Oil / Oil Products,Hyundai Oilbank Co Ltd,Unknown,--,,Hyundai Oil
Jinling (Sinopec Jinling Petrochemical Co Ltd) - Distillate Hydrocracker 2,Hydrocracker Unit,China (Mainland),Oil / Oil Products,Sinopec Jinling Petrochemical Co Ltd,Unknown,--,,Sinopec Corp
Gonfreville Refinery (Normandie) (Total Refining & Chemicals Saudi Arabia Sas) - Reformate Splitter (FDR),Reformer Unit,,Oil / Oil Products,Total Gonfreville,Unknown,--,,Total
REDUC (Petroleo Brasileiro SA Petrobras) - Furfural Dearomatization (U-1520),Lube Plant,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,Petrobras
Omsk Refinery (Gazprom Neft' PAO) - Diesel Hydrotreater L-24/7,Hydrotreater Unit,Siberian Federal District,Oil / Oil Products,Gazprom Neft' PAO,Unknown,--,,Gazprom Neft
Jiujiang (Sinopec Jiujiang Co) - Diesel Hydrotreater 2,Hydrotreater Unit,China (Mainland),Oil / Oil Products,Sinopec Jiujiang Co,Unknown,--,,Sinopec Corp
Ulsan (SK Energy Company Limited) - RHDS (Residual Hydrotreater) Unit 2,Hydrotreater Unit,South Korea,Oil / Oil Products,SK Energy Company Limited,Unknown,--,,SK Networks Resources Australia Pty Ltd
Lujan de Cuyo (YPF SA) - Instrument Air,Unclassified Unit,Argentina,Oil / Oil Products,YPF SA,Unknown,--,,YPF SA
Gonfreville Refinery (Normandie) (Total Refining & Chemicals Saudi Arabia Sas) - DSV 5 (Vacuum),Distillation Unit,,Oil / Oil Products,Total Gonfreville,Unknown,--,,Total
Santo Domingo Dominican (Refineria Dominicana de Petroleo Refidomsa PDV SA) - LPG,Gas Processing / Treating Unit,Dominican Republic,Oil / Oil Products,Refineria Dominicana de Petroleo Refidomsa PDV SA,Unknown,--,,Estado Dominicano
Shengli Refinery (Sinopec Shengli Oilfield Company Limited) - Delayed Coker,Coker Unit,China (Mainland),Oil / Oil Products,Sinopec Shengli Oilfield Company Limited,Unknown,--,,
Rheinland Godorf Refinery (North) (Shell Deutschland Oil GmbH) - Scott Plant,Gas Processing / Treating Unit,Germany,Oil / Oil Products,Shell Deutschland Oil GmbH,Unknown,--,,Shell PLC
Kawasaki (ENEOS Corporation) - Vacuum Gas Oil Hydrotreater (Gofiner),Hydrotreater Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,Exxon Mobil Corp
Rabigh (Rabigh Refining and Petrochemical Company SJSC) - ARU 2 (Amine Regeneration Unit),Gas Processing / Treating Unit,Saudi Arabia,Oil / Oil Products,Rabigh Refining and Petrochemical Company SJSC,Unknown,--,,Sumitomo Chemical
Saint John Refinery (Irving Oil Limited) - Naphtha Hydrotreater Train 2,Hydrotreater Unit,Canada,Oil / Oil Products,Irving Oil Ltd,Unknown,--,,Irving Oil
Aspropyrgos (Hellenic Petroleum S A) - Naphtha Isomerization Unit 4600,Isomerate Plant,Greece,Oil / Oil Products,HELLENIC ASPROPYRGOS SA,Unknown,--,,Hellenic
Haldia (Indian Oil Corporation Ltd) - Isomerization Unit 1,Isomerate Plant,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Pavlodar (KazMunayGas JSC) - Catalytic Reformer,Reformer Unit,Kazakhstan,Oil / Oil Products,NK KazMunayGaz AO,Unknown,--,,Samruk-Kazyna
Milazzo (Raffineria di Milazzo SpA) - U450 Naphtha HDT 2,Hydrotreater Unit,Italy,Oil / Oil Products,Raffineria di Milazzo SpA,Unknown,--,,Eni SpA
Geelong (Viva Energy Australia Group Pty Ltd) - Isomerization Unit,Isomerate Plant,Australia,Oil / Oil Products,Viva Energy Australia Group Pty Ltd,Unknown,--,,Shell
Kashima (Kashima Oil Company Limited) - Gas Washing Unit 1,Gas Processing / Treating Unit,Japan,Oil / Oil Products,Kashima Oil Company Limited,Unknown,--,,Eneos Corp
Mandan (Marathon Petroleum Corporation) - Clean Products Storage,Tank Farm,North Dakota,Oil / Oil Products,Tesoro Corp,Unknown,--,,Tesoro Corp
Jean Gaulin (Valero Energy Corporation) - FCCU,Catalytic Cracker Unit,Canada,Oil / Oil Products,Valero Energy Corporation,Unknown,--,,Valero Energy Corp
Refineria Ingeniero Hector R Lara Sosa (Cadereyta) (Pemex Transformacion Industrial) - MTBE 2,Gasoline Additive Unit,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,--,,Pemex
Salt Lake City (Marathon Petroleum Corporation) - Poly (Debutanizer/DeEthanizer) ( PLR ),Gas Processing / Treating Unit,Utah,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Andeavor
Casper Refinery (HF Sinclair Corporation) - Polymerization,Polymerization Plant,Wyoming,Oil / Oil Products,Sinclair Oil Corp,Unknown,--,,Sinclair Oil Corp
Chiba (Cosmo Oil Co Ltd) - Kerosene & Gas Oil Hydrodesulfurization 3 (3UF),Hydrotreater Unit,Japan,Oil / Oil Products,Cosmo Oil Co Ltd,Unknown,--,,Cosmo Oil
Aichi (Idemitsu Kosan Company Limited) - Catalytic Reforming Unit,Reformer Unit,Japan,Oil / Oil Products,Idemitsu Kosan Company Limited,Unknown,--,,Idemitsu Kosan Co
Tianjin (SINOPEC Tianjin Co) - CDU 1,Distillation Unit,China (Mainland),Oil / Oil Products,SINOPEC Tianjin Co,Unknown,--,,
Coffeyville (Coffeyville Resources Refining & Marketing LLC) - Isomerization,Isomerate Plant,Kansas,Oil / Oil Products,Coffeyville Resources Refining & Marketing LLC,Unknown,--,,Coffeyville Resources
Puerto La Cruz (Petroleos de Venezuela SA) - Crude ( DA-1 ),Distillation Unit,Venezuela,Oil / Oil Products,Petroleos de Venezuela SA,Unknown,--,,PDVSA
Panipat (Indian Oil Corporation Limited) - Panipat 02 CT/HRSG,Power Generator,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Guangzhou (China Petroleum & Chemical Corporation) - Jet Fuel Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,China Petroleum & Chemical Corporation,Unknown,--,,Sinopec Corp
Corpus Christi Refinery - West (Flint Hills Resources LLC) - Isom 2 C4 (Xylene/Cumene),Isomerate Plant,Texas,Oil / Oil Products,Flint Hills Resources LP,Unknown,--,,Flint Hills Resources
Deer Park (Deer Park Refining LP) - SGP (Saturated Gas Plant),Gas Processing / Treating Unit,Texas,Oil / Oil Products,Deer Park Refining LP,Unknown,--,,Pemex
Laurel (Cenex Harvest States Incorporated) - Zone D Sulfur Recovery Plant (SRP),Sulfur Plant,Montana,Oil / Oil Products,Cenex Harvest States Co Op,Unknown,--,,CENEX
Regina (Consumers Co Operative Refineries Ltd (Ccrl)) - Crude 1 (Heavy Crude),Distillation Unit,Canada,Oil / Oil Products,Consumers Co Operative Refineries Ltd (Ccrl),Unknown,--,,Consumers Co Operative Refineries Ltd (Ccrl)
Alexandria Refinery (APC - El-Mex) (Alexandria Petroleum Co) - Kerosene Hydrotreating Unit 1,Hydrotreater Unit,Egypt,Oil / Oil Products,Alexandria Petroleum Co,Unknown,--,,Alexandria Petroleum Co
Chalmette (Chalmette Refining LLC) - PRT (Power Recovery Train),Power Generator,Louisiana,Oil / Oil Products,PBF Holding Company LLC,Unknown,--,,PBF Energy Inc
Robinson (Marathon Petroleum Corporation) - Amine MDEA 73,Gas Processing / Treating Unit,Illinois,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Marathon Petroleum Corp
Lloydminster (Husky Energy Inc) - Crude,Distillation Unit,Canada,Oil / Oil Products,Husky Energy Inc,Unknown,--,,Husky Energy Inc
Pernis (Shell Nederland Raffinaderij B V) - SRU 6,Sulfur Plant,Netherlands,Oil / Oil Products,Shell Nederland Raffinaderij B V,Unknown,--,,Shell
Sines (Galp Energia SGPS SA) - Hydrisom,Hydrotreater Unit,Portugal,Oil / Oil Products,Galp Energia SGPS SA,Unknown,--,,Petrogal SA
Jamnagar (Reliance Industries Limited) - Isomerization,Isomerate Plant,India,Oil / Oil Products,Reliance Industries Ltd,Unknown,--,,Reliance Industries Ltd
Nynashamn Refinery (Nynas Petroleum) - HT 1 (Hydrotreater Unit),Hydrotreater Unit,Sweden,Oil / Oil Products,Nynas Petroleum,Unknown,--,,PDVSA
Corpus Christi Refinery - West (Flint Hills Resources LLC) - FCCU 1,Catalytic Cracker Unit,Texas,Oil / Oil Products,Flint Hills Resources LP,Unknown,--,,Flint Hills Resources
Umm Al Nar Refinery (Abu Dubai Oil Refining Co (Adnoc)) - Naphtha Hydrodesulfurizer Unit,Hydrotreater Unit,United Arab Emirates,Oil / Oil Products,Abu Dubai Oil Refining Co (Adnoc),Unknown,--,,Abu Dubai Oil Refining Company
Schwechat (OMV AG) - TT3 Naphtha Splitter,Reformer Unit,Austria,Oil / Oil Products,Omv AG,Unknown,--,,OMV
Dalian (PetroChina Dalian Petrochemical Company Limited) - Kerosene Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,PetroChina Dalian Petrochemical Company Limited,Unknown,--,,PetroChina
Bina (Bharat Oman Refineries Bina) - Reformer Unit,Reformer Unit,India,Oil / Oil Products,Bharat Oman Refineries Bina,Unknown,--,,Bharat Petroleum Corporation Ltd
Negishi (ENEOS Corporation) - Kerosene Hydrodesulfurization 1,Hydrotreater Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
Shikoku (Taiyo Oil Co Ltd) - Tank Farm,Tank Farm,Japan,Oil / Oil Products,Taiyo Oil Co Ltd,Unknown,--,,Taiyo Oil Co
Thessaloniki (Hellenic) - Hydrogen,Hydrogen Plant,Greece,Oil / Oil Products,Hellenic,Unknown,--,,Hellenic
REPAR Refinery (Petroleo Brasileiro SA Petrobras) - HDT (Kerosene),Hydrotreater Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,Petrobras
Mostorod (Cairo Oil Refining Company) - Vapor Recovery Unit 2,Unclassified Unit,Egypt,Oil / Oil Products,Cairo Oil Refining Company,Unknown,--,,Egyptian General Petroleum Corporation
El Segundo (Chevron Corporation) - Cogen C5 GT/HRSG,Power Generator,California,Oil / Oil Products,Chevron Corp,Unknown,--,,Chevron Corp
Refineria Francisco I Madero (Ciudad Madero) (Pemex Transformacion Industrial) - Delayed Coker,Coker Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,--,,Pemex
Saint Paul Park Refinery (Marathon Petroleum Corp) - Asphalt,Asphalt Plant,Minnesota,Oil / Oil Products,Marathon Petroleum Corp,Unknown,--,,Marathon Petroleum Corp
Port Allen (Placid Refining Company LLC) - Amine MDEA,Gas Processing / Treating Unit,Louisiana,Oil / Oil Products,Placid Refining Company LLC,Unknown,--,,Placid Refining Company LLC
Dagang (PetroChina Dagang Petrochemical Company Limited) - CDU,Distillation Unit,China (Mainland),Oil / Oil Products,PetroChina Dagang Petrochemical Company Limited,Unknown,--,,PetroChina
REVAP Refinery (Petroleo Brasileiro SA Petrobras) - Vacuum (VD-1),Distillation Unit,Brazil,Oil / Oil Products,Petrobras,Unknown,--,,Petrobras
Negishi (ENEOS Corporation) - Platformer 2,Reformer Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
San Roque Refinery (PDVSA Refinacion) - Crude,Distillation Unit,Venezuela,Oil / Oil Products,PDVSA Refinacion,Unknown,--,,PDVSA
Gibraltar Refinery (Cepsa) - SRU 6,Sulfur Plant,Spain,Oil / Oil Products,Compania Espanola de Petroleos SAU,Unknown,--,,Cepsa
Haifa Refinery (Oil Refineries Limited) - LPG Splitter,Gas Processing / Treating Unit,Israel,Oil / Oil Products,Oil Refineries Limited,Unknown,--,,Israel Corporation Ltd
Corinth (Motor Oil Hellas) - Tail Gas Treatment 1,Gas Processing / Treating Unit,Greece,Oil / Oil Products,Motor Oil Hellas,Unknown,--,,Motor Oil Hellas
Barrancabermeja Refinery (Ecopetrol) - Visbreaker 1,Coker Unit,Colombia,Oil / Oil Products,Ecopetrol,Unknown,--,,Ecopetrol
Bio Bio Refinery (ENAP Refinerias SA) - Topping 1,Distillation Unit,Chile,Oil / Oil Products,ENAP Refinerias SA,Unknown,--,,Empresa Nacional de Petroleo Concon Refinery
Bilbao Refinery (Petronor SA) - Gasoil Hydrotreater (HD3),Hydrotreater Unit,Spain,Oil / Oil Products,Petronor S A,Unknown,--,,Repsol Petroleo SA
TAIF-NK (TAIF-NK PSC) - TAME,Gasoline Additive Unit,Volga Federal District,Oil / Oil Products,TAIF-NK PSC,Unknown,--,,TAIF JSC
Dongying Refinery (-) - Gasoline Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,,Unknown,--,,
Pernis (Shell Nederland Raffinaderij B V) - Vacuum 8,Distillation Unit,Netherlands,Oil / Oil Products,Shell Nederland Raffinaderij BV,Unknown,--,,Shell
Mumbai (Hindustan Petroleum Corporation Limited) - Vacuum 1,Distillation Unit,India,Oil / Oil Products,Hindustan Petroleum Corporation Limited,Unknown,--,,Hindustan Petroleum Corp Ltd
Willemstad Isla Curacao (Refineria di Korsou NV) - Thermal Cracker 2,Thermal Cracker Unit,,Oil / Oil Products,Petroleos de Venezuela SA,Unknown,--,,PDVSA
Marsden Point (Channel Infrastructure NZ Ltd) - Naphtha Hydrotreater,Hydrotreater Unit,New Zealand,Oil / Oil Products,Channel Infrastructure NZ Ltd,Unknown,--,,Channel Infrastructure NZ Ltd
Porvoo (Neste Corporation) - Bitumen,Asphalt Plant,Finland,Oil / Oil Products,Neste Corporation,Unknown,--,,Neste Oyj
Karachi (Pakistan Refinery Limited) - Platformer Unit,Hydrotreater Unit,Pakistan,Oil / Oil Products,Pakistan Refinery Limited,Unknown,--,,State of Pakistan
Three Rivers (Valero Refining Company) - WWTP,Water Treatment Unit,Texas,Oil / Oil Products,Valero,Unknown,--,,Valero Energy Corp
Tulsa West (HF Sinclair Corp) - Boiler House,Unclassified Unit,Oklahoma,Oil / Oil Products,HollyFrontier Corp,Unknown,--,,HollyFrontier Corp
Richmond (Chevron Corporation) - Rheniformer 4,Reformer Unit,California,Oil / Oil Products,Chevron Corporation,Unknown,--,,Chevron Corp
Mizushima Refinery (A and B Plant) (Eneos Corp) - Hydrodealkylation (HDA),Alkylate Plant,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
Zhonghaiwai Refinery (Zhonghaiwai Energy Technology (Shandong) Company Limited) - Delayed Coker,Coker Unit,China (Mainland),Oil / Oil Products,Shandong Shtar Science & Technology Petrochemical Co.Ltd,Unknown,--,,
RPBC (Petroleo Brasileiro SA Petrobras) - Vacuum Distillation 2 (UVV) (U-26),Distillation Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,RPBC
Zhenhai (Sinopec Zhenhai Refining and Chemicals Co Ltd) - SRU 6,Sulfur Plant,China (Mainland),Oil / Oil Products,Sinopec Zhenhai Refining and Chemicals Co Ltd,Unknown,--,,Sinopec Corp
Kashima (Kashima Oil Company Limited) - Aromatics Solvent Extraction (1BTX),Gasoline Additive Unit,Japan,Oil / Oil Products,Kashima Oil Company Limited,Unknown,--,,Eneos Corp
Shiraz (Shiraz Oil Refining Company) - Light Naphtha Merox,Gas Processing / Treating Unit,Iran,Oil / Oil Products,Shiraz Oil Refining Company,Unknown,--,,National Iranian Oil Co
Krotz Springs (Delek US Holdings Inc) - Amine Treatment,Gas Processing / Treating Unit,Louisiana,Oil / Oil Products,Delek US Holdings Inc,Unknown,--,,Delek
Mina Al-Fahal Refinery (Oman Oil Refineries and Petroleum Industries Co LLC) - Continuous Catalytic Reformer,Reformer Unit,Oman,Oil / Oil Products,Oman Oil Refineries and Petroleum Industries Company,Unknown,--,,Government of the Sultanate of Oman
Suez (Nasr Petroleum Company) - CDU 3,Distillation Unit,Egypt,Oil / Oil Products,Nasr Petroleum Company,Unknown,--,,Egyptian General Petroleum Corporation
Zhenhai (Sinopec Zhenhai Refining and Chemicals Co Ltd) - Residual Hydrocracker 1,Hydrocracker Unit,China (Mainland),Oil / Oil Products,Sinopec Zhenhai Refining and Chemicals Co Ltd,Unknown,--,,Sinopec Corp
Lianyungang Refinery (Jiangsu Xinhai Petrochemical Company Limited) - Delayed Coker,Coker Unit,China (Mainland),Oil / Oil Products,Jiangsu Xinhai Petrochemical Company Limited,Unknown,--,,Shandong Dongming Petrochemical Group Co Ltd
Benicia (Valero Refining Co) - Hydrogen (Unit B),Hydrogen Plant,California,Oil / Oil Products,Valero Energy Corp,Unknown,--,,Valero Energy Corp
Preemraff Lysekil Refinery (Preem AB) - VGO,Hydrotreater Unit,Sweden,Oil / Oil Products,Preem AB,Unknown,--,,Preem
Three Rivers (Valero Refining Company) - Dehexanizer Column,Gas Processing / Treating Unit,Texas,Oil / Oil Products,Valero Refining Company,Unknown,--,,Valero Energy Corp
Bayernoil Vohburg Refinery (Bayernoil Raffineriegesellschaft mbH) - Naphtha Desulfurization 1,Hydrotreater Unit,Germany,Oil / Oil Products,BAYERNOIL Raffineriegesellschaft mbH,Unknown,--,,BAYERNOIL Raffineriegesellschaft mbH
RU III - Plaju Refinery (PT Pertamina Persero) - CCR,Reformer Unit,Indonesia,Oil / Oil Products,PT Pertamina Persero,Unknown,--,,Pertamina (Persero) PT
